TripID, TimeStamp, Start DT, Distance, ECC, AvgSpeed, TrackType, Sex, Year, Profession, Frequent User, ZIP, Source
554b9c2488c537794a7b23c6,1431022913,"Thu, 07 May 2015 18:21:53 GMT",3.96,3.9648051541233977,5.07,urban bicycle,,,,yes,,cy-mobile
552e2c6e88c5378049359da9,1429025982,"Tue, 14 Apr 2015 15:39:42 GMT",3.53,0,4.44,urban bicycle,F,1984,Worker,yes,9400,cy-mobile
55367b6988c537c1347b23c6,1429633249,"Tue, 21 Apr 2015 16:20:49 GMT",6.4,0,35.68,other,M,1966,Worker,yes,17100,cy-mobile
553646f588c53779347b23c6,1429626546,"Tue, 21 Apr 2015 14:29:06 GMT",2.84,0,12.56,urban bicycle,F,1995,,yes,,cy-mobile
55484a7a88c5373d46a7a3cc,1430799699,"Tue, 05 May 2015 04:21:39 GMT",7.68,7.683256349761837,20.97,urban bicycle,M,1962,,yes,,cy-mobile
556b7ce788c5371b2d1b7d2b,1432893780,"Fri, 29 May 2015 10:03:00 GMT",2.71,2.7131322948483225,5.43,urban bicycle,F,1955,Arbejder,yes,,cy-web-manual
5537275c88c537a21c7b23c6,1429677085,"Wed, 22 Apr 2015 04:31:25 GMT",5.42,0,23.59,urban bicycle,M,1966,Worker,yes,17100,cy-mobile
55377fa688c537a52c7b23c8,1429707696,"Wed, 22 Apr 2015 13:01:36 GMT",0.01,0,1.3,urban bicycle,,,,yes,,cy-mobile
55485df488c5375d02a7a3cf,1430811945,"Tue, 05 May 2015 07:45:45 GMT",7.08,3.7953395972402895,20.3,urban bicycle,,,,yes,,cy-mobile
55377f8688c537a52c7b23c6,1429705247,"Wed, 22 Apr 2015 12:20:47 GMT",9.29,0,14.79,urban bicycle,,,,yes,,cy-mobile
5537b2b688c537b4077b23c7,1429711587,"Wed, 22 Apr 2015 14:06:27 GMT",8.44,0,15.17,urban bicycle,M,1971,Worker,no,9400,cy-mobile
5537abda88c537b67b7b23c6,1429711060,"Wed, 22 Apr 2015 13:57:40 GMT",2.89,0,13.22,urban bicycle,M,1961,Arbejder,yes,9000,cy-mobile
553a061088c53770207b23c6,1429864857,"Fri, 24 Apr 2015 08:40:57 GMT",3.73,0,12.62,urban bicycle,F,1971,Sygeplejerske,yes,9000,cy-mobile
554863a988c537aa19a7a3cc,1430223454,"Tue, 28 Apr 2015 12:17:34 GMT",0,0,0,urban bicycle,,,,yes,,cy-mobile
5537e21888c53771547b23c6,1429731667,"Wed, 22 Apr 2015 19:41:07 GMT",6.34,0,18.26,urban bicycle,M,1965,Arbejder,yes,9400,cy-mobile
5538f7b388c537e20b7b23c6,1429803722,"Thu, 23 Apr 2015 15:42:02 GMT",0.44,0,6.19,urban bicycle,M,1973,,yes,,cy-mobile
553a20ef88c53779547b23c6,1429872432,"Fri, 24 Apr 2015 10:47:12 GMT",1.23,0,12.06,urban bicycle,F,1971,Sygeplejerske,yes,9000,cy-mobile
5539078c88c537a5267b23c6,1429800402,"Thu, 23 Apr 2015 14:46:42 GMT",1.56,0,12.82,urban bicycle,M,1991,Arbejder,yes,9000,cy-mobile
5538889388c537003a7b23c6,1429767246,"Thu, 23 Apr 2015 05:34:06 GMT",3.91,0,13.88,urban bicycle,F,1971,Sygeplejerske,yes,9000,cy-mobile
5548637b88c537ae19a7a3cc,1430811529,"Tue, 05 May 2015 07:38:49 GMT",7.17,7.154509283482234,8.42,urban bicycle,,,,yes,,cy-mobile
5538d39c88c5372a477b23c6,1429789018,"Thu, 23 Apr 2015 11:36:58 GMT",11.12,0,8.55,urban bicycle,,,,yes,,cy-mobile
5538e94688c537486d7b23c6,1429799449,"Thu, 23 Apr 2015 14:30:49 GMT",2.89,0,12.37,urban bicycle,null,null,null,yes,null,cy-mobile
5538e96888c5375d6d7b23c6,1429799200,"Thu, 23 Apr 2015 14:26:40 GMT",0.98,0,12.37,urban bicycle,,,,yes,,cy-mobile
5538e97388c5376c6d7b23c6,1429799276,"Thu, 23 Apr 2015 14:27:56 GMT",1.26,0,11.04,urban bicycle,null,null,null,yes,null,cy-mobile
5538ef5c88c537007a7b23c6,1429799216,"Thu, 23 Apr 2015 14:26:56 GMT",2.97,0,9.94,urban bicycle,F,1984,Worker,yes,9400,cy-mobile
5538ef7d88c5379f787b23c6,1429800336,"Thu, 23 Apr 2015 14:45:36 GMT",1.4,0,3.27,urban bicycle,,,,yes,,cy-mobile
5538f11688c537907c7b23c6,1429801721,"Thu, 23 Apr 2015 15:08:41 GMT",2.84,0,17.92,urban bicycle,M,1973,,yes,,cy-mobile
5538f25588c5373d7f7b23c6,1429801888,"Thu, 23 Apr 2015 15:11:28 GMT",0.01,0,0.07,urban bicycle,,,,yes,,cy-mobile
5538f4c988c53761057b23c6,1429802617,"Thu, 23 Apr 2015 15:23:37 GMT",2.72,0,15.8,urban bicycle,,,,yes,,cy-mobile
5538f4de88c53752057b23c6,1429802604,"Thu, 23 Apr 2015 15:23:24 GMT",2.72,0,15.26,urban bicycle,F,1984,Worker,yes,9400,cy-mobile
5538f63a88c537f6077b23c6,1429802629,"Thu, 23 Apr 2015 15:23:49 GMT",1.01,0,9.56,urban bicycle,null,null,null,yes,null,cy-mobile
5538f7e088c537080c7b23c7,1429802640,"Thu, 23 Apr 2015 15:24:00 GMT",3.22,0,8.37,urban bicycle,null,null,null,yes,null,cy-mobile
5539d9c388c5374f4e7b23c7,1429853590,"Fri, 24 Apr 2015 05:33:10 GMT",3.87,0,14.09,urban bicycle,F,1971,Sygeplejerske,yes,9000,cy-mobile
55486b3588c537dd34a7a3cd,1430804164,"Tue, 05 May 2015 05:36:04 GMT",2.49,2.4894946348212676,1.71,urban bicycle,,,,yes,,cy-mobile
5539f4f988c53759017b23c6,1429855728,"Fri, 24 Apr 2015 06:08:48 GMT",4.69,0,14.91,urban bicycle,M,1991,Arbejder,yes,9000,cy-mobile
5554b18a88c5378d5e7b23c6,1431611874,"Thu, 14 May 2015 13:57:54 GMT",7.05,0,16.4,urban bicycle,,,,yes,,cy-mobile
553a287d88c537d3607b23c8,1429808802,"Thu, 23 Apr 2015 17:06:42 GMT",2.27,0,2.67,urban bicycle,F,1984,Worker,yes,9400,cy-mobile
553a412a88c537930f7b23c6,1429878737,"Fri, 24 Apr 2015 12:32:17 GMT",5.05,0,20.26,urban bicycle,M,1991,Arbejder,yes,9000,cy-mobile
553a48a688c537301c7b23c6,1429837911,"Fri, 24 Apr 2015 01:11:51 GMT",0.04,0,6.42,urban bicycle,F,1972,Pædagogisk leder,yes,,cy-mobile
553a4e7488c537f7257b23c6,1429883712,"Fri, 24 Apr 2015 13:55:12 GMT",2.12,0,9.29,urban bicycle,,,Worker,yes,9000,cy-mobile
553a4f5f88c537c8277b23c6,1429883712,"Fri, 24 Apr 2015 13:55:12 GMT",5.19,0,17.74,urban bicycle,M,1991,Arbejder,yes,9000,cy-mobile
553a598888c5371a3a7b23c6,1429892273,"Fri, 24 Apr 2015 16:17:53 GMT",3.89,0,6.11,urban bicycle,F,1959,Arbejder,yes,9210,cy-mobile
553a5a9f88c5371c3c7b23c6,1429882981,"Fri, 24 Apr 2015 13:43:01 GMT",7.38,0,15.97,urban bicycle,F,1992,student,yes,,cy-mobile
553a5c3d88c5377a3e7b23c6,1429887715,"Fri, 24 Apr 2015 15:01:55 GMT",1.49,0,15.53,urban bicycle,F,1992,student,yes,,cy-mobile
5548601e88c537250ba7a3cc,1430812915,"Tue, 05 May 2015 08:01:55 GMT",3.89,3.885924354673147,16.85,urban bicycle,M,1971,,yes,,cy-mobile
553dbd6d88c5370509a4ec8a,1430066275,"Sun, 26 Apr 2015 16:37:55 GMT",0,0,0,urban bicycle,M,1965,mekanic,yes,,cy-mobile
5549a0ca88c53755217b23c6,1430895191,"Wed, 06 May 2015 06:53:11 GMT",3.25,3.2468739321281603,17.98,urban bicycle,M,1963,Arbejder,yes,9000,cy-mobile
553ab67088c537f44e7b23c6,1429889393,"Fri, 24 Apr 2015 15:29:53 GMT",1.5,0,13.21,urban bicycle,F,1992,student,yes,,cy-mobile
553abed688c53782597b23c6,1429911533,"Fri, 24 Apr 2015 21:38:53 GMT",7.35,0,14.98,urban bicycle,F,1992,student,yes,,cy-mobile
553cffaf88c537607fa4ec8a,1430040816,"Sun, 26 Apr 2015 09:33:36 GMT",15.79,0,2.82,urban bicycle,M,1965,mekanic,yes,,cy-mobile
55484bdf88c5372749a7a3cc,1430799556,"Tue, 05 May 2015 04:19:16 GMT",8.58,0.5299726128017908,17.01,urban bicycle,,,,yes,,cy-mobile
55484c2088c537394ba7a3cc,1430800866,"Tue, 05 May 2015 04:41:06 GMT",2.41,2.406910544075488,15.12,urban bicycle,M,1965,mekanic,yes,,cy-mobile
554847e688c5371440a7a3cc,1430799446,"Tue, 05 May 2015 04:17:26 GMT",4.82,4.81539470337851,19.03,urban bicycle,,,,yes,,cy-mobile
5548445188c5376738a7a3cc,1430748070,"Mon, 04 May 2015 14:01:10 GMT",5.43,5.4264296652560535,8.27,urban bicycle,,,,yes,,cy-mobile
5548484088c537d240a7a3cc,1430806675,"Tue, 05 May 2015 06:17:55 GMT",0.07,0.06574943781308339,2.78,urban bicycle,,,,yes,,cy-mobile
5548628288c537d015a7a3cc,1430745300,"Mon, 04 May 2015 13:15:00 GMT",4.14,4.143299904375017,9.94,urban bicycle,F,1992,Arbejder,no,9210,cy-web-manual
55484c8188c5378c4ba7a3cd,1430808138,"Tue, 05 May 2015 06:42:18 GMT",2.59,2.588886019191645,15.66,urban bicycle,,,,yes,,cy-mobile
553d240f88c5371d38a4ec8a,1430046738,"Sun, 26 Apr 2015 11:12:18 GMT",3.12,0,11.99,urban bicycle,F,1988,Worker,yes,9000,cy-mobile
553dcee288c537cd22a4ec8a,1430120393,"Mon, 27 Apr 2015 07:39:53 GMT",0.18,0,5.25,urban bicycle,,,,yes,,cy-mobile
553b7b9388c537de5d7b23c6,1429954868,"Sat, 25 Apr 2015 09:41:08 GMT",6.26,0,1.62,urban bicycle,,,student,yes,,cy-mobile
553b8a0b88c537ee737b23c6,1429950941,"Sat, 25 Apr 2015 08:35:41 GMT",70.42,0,25.36,other,M,1963,Proptolog,yes,,cy-mobile
553fd4a288c537c3177b23c6,1430236393,"Tue, 28 Apr 2015 15:53:13 GMT",0.52,0,8.49,urban bicycle,,,,yes,,cy-mobile
5546e3dc88c537a372d21093,1430708758,"Mon, 04 May 2015 03:05:58 GMT",1.36,0,10.8,urban bicycle,M,18101975,Sales Consulant,yes,9700,cy-mobile
553dde2d88c537c53fa4ec8a,1430115675,"Mon, 27 Apr 2015 06:21:15 GMT",9.14,0,14.65,urban bicycle,,,,yes,,cy-mobile
553dc5ca88c5379e14a4ec8a,1430110231,"Mon, 27 Apr 2015 04:50:31 GMT",4.65,0,11.46,urban bicycle,F,1986,Kemiingeniør i QC på SRN,no,,cy-mobile
553dcee188c5378522a4ec8d,1429801322,"Thu, 23 Apr 2015 15:02:02 GMT",0.21,0,1.99,urban bicycle,,,,yes,,cy-mobile
553dda9a88c537e238a4ec8a,1430120232,"Mon, 27 Apr 2015 07:37:12 GMT",4.44,0,16.15,urban bicycle,F,1959,Arbejder,yes,9210,cy-mobile
553ddbcc88c537053ba4ec8a,1430123390,"Mon, 27 Apr 2015 08:29:50 GMT",5.42,0,17.27,urban bicycle,M,1963,Journalist,yes,9210,cy-mobile
5548579f88c537e069a7a3ce,1430803753,"Tue, 05 May 2015 05:29:13 GMT",2.69,2.687656853673938,15.36,urban bicycle,F,1955,Arbejder,yes,,cy-mobile
553decc188c5376a5ea4ec8a,1430128175,"Mon, 27 Apr 2015 09:49:35 GMT",2.72,0,14.61,urban bicycle,F,1980,,yes,,cy-mobile
553df0e088c537a665a4ec8a,1429624860,"Tue, 21 Apr 2015 14:01:00 GMT",21.31,0,17.11,urban bicycle,M,1966,Worker,yes,9430,cy-mobile
553dfa1488c5378879a4ec8a,1430121719,"Mon, 27 Apr 2015 08:01:59 GMT",3.56,0,11.92,urban bicycle,F,1970,Librarian - bibliotekar,yes,,cy-mobile
553e22a988c5370850a4ec8a,1430142174,"Mon, 27 Apr 2015 13:42:54 GMT",1.68,0,12.46,urban bicycle,F,1980,,yes,,cy-mobile
553e301c88c537c86da4ec8a,1429879560,"Fri, 24 Apr 2015 12:46:00 GMT",5.69,0,17.08,urban bicycle,M,1983,Worker,yes,9000,cy-web-manual
553e30a388c537e06fa4ec8a,1430145182,"Mon, 27 Apr 2015 14:33:02 GMT",4.55,0,15.51,urban bicycle,F,1980,,yes,,cy-mobile
553e338588c5378975a4ec8a,1430140446,"Mon, 27 Apr 2015 13:14:06 GMT",17.95,0,9.91,urban bicycle,M,1958,Arbejder,yes,9220,cy-mobile
553e39c188c5370a05a4ec8a,1430138840,"Mon, 27 Apr 2015 12:47:20 GMT",9.23,0,13.15,urban bicycle,,,,yes,,cy-mobile
553e3f3188c5370c11a4ec8a,1430146789,"Mon, 27 Apr 2015 14:59:49 GMT",15.15,0,17.17,urban bicycle,M,1966,Afsnitsleder,yes,9430,cy-mobile
553e3f6688c5374b11a4ec8a,1430148411,"Mon, 27 Apr 2015 15:26:51 GMT",10.09,0,22.95,urban bicycle,M,1980,Worker,yes,9260,cy-mobile
553e409888c537f813a4ec8a,1430149002,"Mon, 27 Apr 2015 15:36:42 GMT",5.62,0,15.33,urban bicycle,M,1971,Arbejder,yes,9220,cy-mobile
553e410188c537d415a4ec8a,1430148718,"Mon, 27 Apr 2015 15:31:58 GMT",2.48,0,5.22,urban bicycle,M,1977,Familieplejekonsulent,yes,,cy-mobile
553e433f88c5371619a4ec8a,1430142668,"Mon, 27 Apr 2015 13:51:08 GMT",4.69,0,14.81,urban bicycle,F,1986,Kemiingeniør i QC på SRN,no,,cy-mobile
553e4dc788c537d32da4ec8a,1430153276,"Mon, 27 Apr 2015 16:47:56 GMT",1.52,0,13.06,urban bicycle,,,Head of office,yes,,cy-mobile
553e4dd688c5375b2fa4ec8a,1430152794,"Mon, 27 Apr 2015 16:39:54 GMT",3.94,0,15.51,urban bicycle,M,1963,Journalist,yes,9210,cy-mobile
553e528c88c5376837a4ec8a,1430153641,"Mon, 27 Apr 2015 16:54:01 GMT",0.09,0,0.88,urban bicycle,,,,yes,,cy-mobile
5541ea0988c53759227b23c6,1430378045,"Thu, 30 Apr 2015 07:14:05 GMT",3.07,0,15.24,urban bicycle,,1980,,yes,,cy-mobile
553e62dd88c537f256a4ec8a,1430148838,"Mon, 27 Apr 2015 15:33:58 GMT",9.07,0,10.66,urban bicycle,M,1985,Worker,yes,9000,cy-mobile
553e97ed88c537c043a4ec8a,1430172622,"Mon, 27 Apr 2015 22:10:22 GMT",0.08,0,5.53,urban bicycle,,,,yes,,cy-mobile
5540d89688c5375d0b7b23c6,1430317855,"Wed, 29 Apr 2015 14:30:55 GMT",15.09,0,22.22,urban bicycle,M,1966,Afsnitsleder,yes,9430,cy-mobile
553e986c88c5373844a4ec8a,1430130398,"Mon, 27 Apr 2015 10:26:38 GMT",1.3,0,2.85,urban bicycle,,1959,,yes,,cy-mobile
553f0b6a88c5377c6aa4ec8a,1430193901,"Tue, 28 Apr 2015 04:05:01 GMT",6.39,0,20.08,urban bicycle,M,1960,Worker,no,9310,cy-mobile
553f02b088c537c75fa4ec8a,1430139773,"Mon, 27 Apr 2015 13:02:53 GMT",21.23,0,18.39,urban bicycle,M,1966,Worker,yes,9430,cy-mobile
553f16ab88c537807ca4ec8a,1430196548,"Tue, 28 Apr 2015 04:49:08 GMT",4.68,0,12.19,urban bicycle,F,1986,Kemiingeniør i QC på SRN,no,,cy-mobile
553f184c88c5378b7ea4ec8a,1430194195,"Tue, 28 Apr 2015 04:09:55 GMT",21.11,0,18.3,urban bicycle,M,1966,Worker,yes,9430,cy-mobile
553f19b388c5375002a4ec8a,1430196373,"Tue, 28 Apr 2015 04:46:13 GMT",10.86,0,16.78,urban bicycle,M,1962,Worker,yes,9400,cy-mobile
553f1a3888c5375202a4ec8a,1430204535,"Tue, 28 Apr 2015 07:02:15 GMT",6.57,0,15.78,urban bicycle,,,,yes,,cy-mobile
553f1aed88c5373204a4ec8b,1430203758,"Tue, 28 Apr 2015 06:49:18 GMT",8.63,0,12.65,urban bicycle,M,1983,Worker,yes,9000,cy-mobile
5548544388c5375960a7a3cc,1430809783,"Tue, 05 May 2015 07:09:43 GMT",4.21,4.212243831244328,17.23,urban bicycle,F,1989,,yes,,cy-mobile
553f1de888c537ff0aa4ec8a,1430206314,"Tue, 28 Apr 2015 07:31:54 GMT",2.54,0,13.81,urban bicycle,F,1986,Worker,yes,9400,cy-mobile
553f27d688c5374a1fa4ec8b,1430115720,"Mon, 27 Apr 2015 06:22:00 GMT",6.34,0,12.68,urban bicycle,M,1992,Student,yes,9000,cy-web-manual
553f20e088c5378e11a4ec8a,1430206541,"Tue, 28 Apr 2015 07:35:41 GMT",5.89,0,17.68,urban bicycle,,,,yes,,cy-mobile
553f21b388c5375112a4ec8a,1430206774,"Tue, 28 Apr 2015 07:39:34 GMT",5.78,0,17.72,urban bicycle,M,1958,Arbejder,yes,9220,cy-mobile
553f21c388c5375612a4ec8a,1430199754,"Tue, 28 Apr 2015 05:42:34 GMT",4.71,0,16.76,urban bicycle,M,1991,Arbejder,yes,9000,cy-mobile
553f261288c537d81ba4ec8b,1430201700,"Tue, 28 Apr 2015 06:15:00 GMT",6.35,0,15.23,urban bicycle,M,1992,Student,yes,9000,cy-web-manual
553f27cd88c537591fa4ec8a,1430206877,"Tue, 28 Apr 2015 07:41:17 GMT",1.29,0,1.76,urban bicycle,M,1977,Familieplejekonsulent,yes,,cy-mobile
553f2fb488c5375e31a4ec8b,1430209696,"Tue, 28 Apr 2015 08:28:16 GMT",7.51,0,14.76,urban bicycle,F,1972,Pædagogisk leder,yes,,cy-mobile
553f53d788c5371006a4ec8b,1430220081,"Tue, 28 Apr 2015 11:21:21 GMT",2.68,0,13.67,urban bicycle,F,1980,,yes,,cy-mobile
553f317688c5374535a4ec8b,1430200516,"Tue, 28 Apr 2015 05:55:16 GMT",32.91,0,27.52,urban bicycle,M,1970,,yes,,cy-mobile
5547490f88c5378224d21093,1430733968,"Mon, 04 May 2015 10:06:08 GMT",1.21,1.2102722273347293,3.8,urban bicycle,F,1992,student,yes,,cy-mobile
553f3e4f88c537d252a4ec8a,1430213750,"Tue, 28 Apr 2015 09:35:50 GMT",7.45,0,20.25,urban bicycle,,,Head of office,yes,,cy-mobile
553f40b688c537e759a4ec8a,1430207993,"Tue, 28 Apr 2015 07:59:53 GMT",4.12,0,20.24,urban bicycle,M,1970,,yes,,cy-mobile
553f5d3888c5371319a4ec8b,1430221664,"Tue, 28 Apr 2015 11:47:44 GMT",7.26,0,17.24,urban bicycle,,,Head of office,yes,,cy-mobile
553f63c288c5378f2aa4ec8a,1430205762,"Tue, 28 Apr 2015 07:22:42 GMT",9.69,0,20.16,urban bicycle,M,1980,Worker,yes,9260,cy-mobile
553f669488c5376f30a4ec8a,1430200990,"Tue, 28 Apr 2015 06:03:10 GMT",8.3,0,1.72,urban bicycle,M,1971,Worker,no,9400,cy-mobile
553fa4fc88c53734317b23c6,1430153647,"Mon, 27 Apr 2015 16:54:07 GMT",0.07,0,3.65,urban bicycle,,,,yes,,cy-mobile
553f732288c5378e4ca4ec8a,1430228082,"Tue, 28 Apr 2015 13:34:42 GMT",1.71,0,8.66,urban bicycle,F,1980,,yes,,cy-mobile
553f73f688c537de4da4ec8a,1430227724,"Tue, 28 Apr 2015 13:28:44 GMT",5.81,0,16.26,urban bicycle,M,1958,Arbejder,yes,9220,cy-mobile
554728e888c5378939d21093,1430732982,"Mon, 04 May 2015 09:49:42 GMT",5.7,5.698103613991838,18.65,urban bicycle,,,,yes,,cy-mobile
553f7aea88c537b85ca4ec8a,1430222285,"Tue, 28 Apr 2015 11:58:05 GMT",6.42,0,17.62,urban bicycle,M,1992,Student,yes,9000,cy-mobile
553f7bdd88c5379d5ea4ec8a,1430229844,"Tue, 28 Apr 2015 14:04:04 GMT",3.62,0,10.99,urban bicycle,F,1970,Librarian - bibliotekar,yes,,cy-mobile
553f7c1388c537f85fa4ec8a,1430223358,"Tue, 28 Apr 2015 12:15:58 GMT",1.18,0,8.13,urban bicycle,,,,yes,,cy-mobile
5547a08188c537663bd21093,1430718597,"Mon, 04 May 2015 05:49:57 GMT",5.26,5.257641417566357,13.12,urban bicycle,,,,yes,,cy-mobile
553f89e988c5376903a4ec8a,1430226303,"Tue, 28 Apr 2015 13:05:03 GMT",5.87,0,18.81,urban bicycle,M,1960,Worker,no,9310,cy-mobile
553f8a2488c537a903a4ec8a,1430233875,"Tue, 28 Apr 2015 15:11:15 GMT",2.42,0,10.76,urban bicycle,F,1986,Worker,yes,9400,cy-mobile
553f8e2d88c537eb05a4ec8a,1430233626,"Tue, 28 Apr 2015 15:07:06 GMT",9.05,0,20.68,urban bicycle,M,07-07-1987,Technical Designer,yes,,cy-mobile
553fb6e488c537ed567b23c6,1430237763,"Tue, 28 Apr 2015 16:16:03 GMT",0,0,0,urban bicycle,M,1970,,yes,,cy-mobile
553fac2288c53743407b23c6,1430206856,"Tue, 28 Apr 2015 07:40:56 GMT",0.04,0,1.85,urban bicycle,,,,yes,,cy-mobile
553fa15688c537ea297b23c6,1430230726,"Tue, 28 Apr 2015 14:18:46 GMT",11.73,0,15.64,urban bicycle,M,1962,Worker,yes,9400,cy-mobile
553fa86d88c53791387b23c6,1430239783,"Tue, 28 Apr 2015 16:49:43 GMT",3.32,0,13.41,urban bicycle,,,Head of office,yes,,cy-mobile
554391ba88c5374f0d7b23c6,1430498014,"Fri, 01 May 2015 16:33:34 GMT",2.66,0.7687651713688854,12.8,urban bicycle,,,,yes,,cy-mobile
553fac2388c5373b407b23c6,1430241543,"Tue, 28 Apr 2015 17:19:03 GMT",1.34,0,13.22,urban bicycle,,,,yes,,cy-mobile
5547778388c537b934d21093,1430753557,"Mon, 04 May 2015 15:32:37 GMT",2.82,2.816652793636383,15.72,urban bicycle,M,1963,Worker,yes,9310,cy-mobile
553ffb5a88c53748687b23c6,1430240954,"Tue, 28 Apr 2015 17:09:14 GMT",0.01,0,0.23,urban bicycle,,1959,,yes,,cy-mobile
55475e1488c5377d64d21095,1430746583,"Mon, 04 May 2015 13:36:23 GMT",0.01,0.01421958983125777,0.94,urban bicycle,F,1970,Sekretær,yes,,cy-mobile
5540aacf88c537491e7b23c6,1430300805,"Wed, 29 Apr 2015 09:46:45 GMT",2.11,0,12.99,urban bicycle,M,1964,Worker,yes,9000,cy-mobile
5547892888c537f36dd21094,1430747703,"Mon, 04 May 2015 13:55:03 GMT",0.02,0.023311589198413203,1.2,urban bicycle,F,1970,Sekretær,yes,,cy-mobile
554058ee88c53792647b23c6,1430227195,"Tue, 28 Apr 2015 13:19:55 GMT",3.85,0,14.26,urban bicycle,F,1986,Kemiingeniør i QC på SRN,no,,cy-mobile
55405c8888c537f2697b23c6,1430287016,"Wed, 29 Apr 2015 05:56:56 GMT",7.61,0,17.97,urban bicycle,,,,yes,,cy-mobile
55405e6988c537006e7b23c6,1430280607,"Wed, 29 Apr 2015 04:10:07 GMT",6.96,0,20.49,urban bicycle,M,1960,Worker,no,9310,cy-mobile
554062b588c537e3747b23c6,1430288556,"Wed, 29 Apr 2015 06:22:36 GMT",8.65,0,20.42,urban bicycle,M,07-07-1987,Technical Designer,yes,,cy-mobile
55406ffa88c537e00c7b23c6,1430291658,"Wed, 29 Apr 2015 07:14:18 GMT",5.43,0,22.99,urban bicycle,,,,yes,,cy-mobile
5540705088c537d50e7b23c6,1430284243,"Wed, 29 Apr 2015 05:10:43 GMT",8.47,0,14.05,urban bicycle,F,1975,Worker,yes,9400,cy-mobile
5540706a88c537290f7b23c6,1430285775,"Wed, 29 Apr 2015 05:36:15 GMT",3.31,0,17.98,urban bicycle,M,1964,Worker,yes,9000,cy-mobile
5540722b88c537410f7b23c6,1430291939,"Wed, 29 Apr 2015 07:18:59 GMT",10.14,0,17,urban bicycle,M,1980,Worker,yes,9260,cy-mobile
554072bc88c537ef137b23c6,1430292546,"Wed, 29 Apr 2015 07:29:06 GMT",0.47,0,6.37,urban bicycle,M,1965,Arbejder,yes,9400,cy-mobile
5540746a88c537f2167b23c6,1430287153,"Wed, 29 Apr 2015 05:59:13 GMT",0.92,0,10.67,urban bicycle,M,1991,Arbejder,yes,9000,cy-mobile
5540766688c537ab1b7b23c7,1430293760,"Wed, 29 Apr 2015 07:49:20 GMT",4.53,0,11.6,urban bicycle,M,1977,Familieplejekonsulent,yes,,cy-mobile
554083b388c53732397b23c7,1430298025,"Wed, 29 Apr 2015 09:00:25 GMT",3.16,0,21.09,urban bicycle,,,Head of office,yes,,cy-mobile
